accuracy,log_loss,fit_time,predict_time,total_time,peak_memory_mb,n_train,n_test,dataset,method_name,k,run,selection_method,selection_space,method,space,t_stage12,t_retrieval,t_stage3
0.5699125479021323,0.927145574773071,9.587504386901855,29.558489084243774,39.14599347114563,52119.70048,81412,20354,Diabetes130US,random,32,0,random,embedding,random,embedding,1.8228516578674316,22.152488470077515,5.43253755569458
0.571189938095706,0.9201538091614205,9.768467426300049,33.57361602783203,43.34208345413208,52119.70048,81412,20354,Diabetes130US,random,64,0,random,embedding,random,embedding,1.8229525089263916,21.8909752368927,9.708656787872314
0.5828829714061118,0.8974210972346532,10.333850145339966,44.795673847198486,55.12952399253845,67764.434432,81412,20354,Diabetes130US,random,128,0,random,embedding,random,embedding,1.822814702987671,22.057480812072754,20.764732122421265
0.5353738822835806,1.0405870223348184,10.012495756149292,5.889584302902222,15.902080059051514,52119.70048,81412,20354,Diabetes130US,raw_euclidean,16,0,euclidean,raw,euclidean,raw,1.7398748397827148,0.011600255966186523,3.8320183753967285
0.5414660508990862,0.9792539286279439,9.567163467407227,8.154960870742798,17.722124338150024,52119.70048,81412,20354,Diabetes130US,raw_euclidean,32,0,euclidean,raw,euclidean,raw,1.741980791091919,0.01160740852355957,6.095051527023315
0.5558121253807605,0.9467700148697238,9.470740795135498,12.430734872817993,21.90147566795349,52119.70048,81412,20354,Diabetes130US,raw_euclidean,64,0,euclidean,raw,euclidean,raw,1.7415790557861328,0.011811017990112305,10.373893737792969
0.5767908027906062,0.912079934738601,9.554807662963867,22.996307849884033,32.5511155128479,67839.3344,81412,20354,Diabetes130US,raw_euclidean,128,0,euclidean,raw,euclidean,raw,1.7409424781799316,0.011696815490722656,20.938928365707397
0.5370443156136386,1.0376450011557603,10.367838621139526,5.624772787094116,15.992611408233643,52119.70048,81412,20354,Diabetes130US,raw_cosine,16,0,cosine,raw,cosine,raw,1.7405102252960205,0.00974416732788086,3.569915294647217
0.5423995283482362,0.9798731270963233,8.618316173553467,7.888523578643799,16.506839752197266,52119.70048,81412,20354,Diabetes130US,raw_cosine,32,0,cosine,raw,cosine,raw,1.7418363094329834,0.009561538696289062,5.831801414489746
0.5560577773410632,0.9488607153999904,8.998222351074219,12.165916919708252,21.16413927078247,52119.70048,81412,20354,Diabetes130US,raw_cosine,64,0,cosine,raw,cosine,raw,1.7414298057556152,0.009998083114624023,10.109994411468506
0.5734499361304903,0.9121937489199905,9.484063148498535,22.105000257492065,31.5890634059906,67839.3344,81412,20354,Diabetes130US,raw_cosine,128,0,cosine,raw,cosine,raw,1.7435712814331055,0.009653091430664062,20.048295497894287
0.5707968949592218,0.9743994846072004,9.789672136306763,6.6024346351623535,16.392106771469116,52119.70048,81412,20354,Diabetes130US,emb_euclidean,16,0,euclidean,embedding,euclidean,embedding,1.8229014873504639,0.01094198226928711,4.617687940597534
0.5766434116144247,0.9226768839332036,9.66524338722229,8.862183332443237,18.527426719665527,52119.70048,81412,20354,Diabetes130US,emb_euclidean,32,0,euclidean,embedding,euclidean,embedding,1.8232543468475342,0.010759115219116211,6.877859115600586
0.583914709639383,0.8936698517713185,9.475220680236816,13.141768217086792,22.61698889732361,52119.70048,81412,20354,Diabetes130US,emb_euclidean,64,0,euclidean,embedding,euclidean,embedding,1.8231840133666992,0.010620594024658203,11.157989025115967
0.5942320919720939,0.8747565507359223,9.527889251708984,23.552438974380493,33.08032822608948,67764.434432,81412,20354,Diabetes130US,emb_euclidean,128,0,euclidean,embedding,euclidean,embedding,1.823106288909912,0.010574817657470703,21.568851709365845
0.5707477645671613,0.9746352496256203,10.475888967514038,6.340381622314453,16.81627058982849,52119.70048,81412,20354,Diabetes130US,emb_cosine,16,0,cosine,embedding,cosine,embedding,1.821439266204834,0.008945703506469727,4.359233379364014
0.5761521076938194,0.9223695304224433,8.79083514213562,8.602341890335083,17.393177032470703,52119.70048,81412,20354,Diabetes130US,emb_cosine,32,0,cosine,embedding,cosine,embedding,1.822561502456665,0.008503913879394531,6.619863033294678
0.5838655792473224,0.8935879150812254,8.54883599281311,12.882893800735474,21.431729793548584,52119.70048,81412,20354,Diabetes130US,emb_cosine,64,0,cosine,embedding,cosine,embedding,1.822040319442749,0.008321762084960938,10.900508880615234
0.5942320919720939,0.8746561519570085,9.216842889785767,22.57682180404663,31.793664693832397,67764.434432,81412,20354,Diabetes130US,emb_cosine,128,0,cosine,embedding,cosine,embedding,1.8220884799957275,0.008619546890258789,20.59504222869873
0.6188464183944188,0.8372776721010166,4.021734237670898,19.407351970672607,23.429086208343506,53351.373824,81412,20354,Diabetes130US,full_tabicl,81412,1,none,none,,,,,
0.5733025449543088,0.9353023762578894,8.6920747756958,26.98643946647644,35.67851424217224,51948.40576,81412,20354,Diabetes130US,random,16,1,random,embedding,random,embedding,1.7879819869995117,21.87376093864441,3.172614574432373
0.568586027316498,0.9280768359142382,9.246520042419434,29.479639530181885,38.72615957260132,51948.40576,81412,20354,Diabetes130US,random,32,1,random,embedding,random,embedding,1.8017418384552002,22.09666156768799,5.429763555526733
0.5743342831875798,0.9183378681825632,9.403281450271606,33.625009059906006,43.02829051017761,51948.40576,81412,20354,Diabetes130US,random,64,1,random,embedding,random,embedding,1.8036630153656006,21.957953691482544,9.711907863616943
0.580573842979267,0.8953186960887879,9.967543363571167,44.840444564819336,54.8079879283905,67762.075136,81412,20354,Diabetes130US,random,128,1,random,embedding,random,embedding,1.8031716346740723,22.106051206588745,20.779831647872925
0.5399430087452098,1.0399790603234849,9.538651704788208,5.872724294662476,15.411375999450684,51948.40576,81412,20354,Diabetes130US,raw_euclidean,16,1,euclidean,raw,euclidean,raw,1.7230150699615479,0.011616945266723633,3.834634304046631
0.5425469195244178,0.9792879265206594,9.161969423294067,8.130220651626587,17.292190074920654,51948.40576,81412,20354,Diabetes130US,raw_euclidean,32,1,euclidean,raw,euclidean,raw,1.723508358001709,0.01169586181640625,6.092017650604248
0.5510956077429497,0.9479134577740131,9.68794059753418,12.415796518325806,22.103737115859985,51948.40576,81412,20354,Diabetes130US,raw_euclidean,64,1,euclidean,raw,euclidean,raw,1.7235782146453857,0.011224985122680664,10.376625776290894
0.5739903704431562,0.9120376445420894,9.214763641357422,22.99845600128174,32.21321964263916,67835.346944,81412,20354,Diabetes130US,raw_euclidean,128,1,euclidean,raw,euclidean,raw,1.7227623462677002,0.011074542999267578,20.963194370269775
0.5414169205070256,1.039638505900326,9.801367044448853,5.610636472702026,15.412003517150879,51948.40576,81412,20354,Diabetes130US,raw_cosine,16,1,cosine,raw,cosine,raw,1.7234952449798584,0.009248018264770508,3.5743095874786377
0.5417117028593889,0.979770464586123,8.5330228805542,7.866262674331665,16.399285554885864,51948.40576,81412,20354,Diabetes130US,raw_cosine,32,1,cosine,raw,cosine,raw,1.7228922843933105,0.009468317031860352,5.831174612045288
0.5522256067603419,0.9475836696652701,8.49605393409729,12.149341344833374,20.645395278930664,51948.40576,81412,20354,Diabetes130US,raw_cosine,64,1,cosine,raw,cosine,raw,1.7223761081695557,0.008968353271484375,10.114961624145508
0.5757590645573352,0.9127235188910452,9.41242527961731,22.112760305404663,31.525185585021973,67835.346944,81412,20354,Diabetes130US,raw_cosine,128,1,cosine,raw,cosine,raw,1.7236418724060059,0.009252548217773438,20.078094244003296
0.5691264616291638,0.9751680366633583,9.820957660675049,6.58140754699707,16.40236520767212,51948.40576,81412,20354,Diabetes130US,emb_euclidean,16,1,euclidean,embedding,euclidean,embedding,1.8041002750396729,0.01078176498413086,4.615555286407471
0.5720742851527956,0.9185895889910266,9.130921602249146,8.838377714157104,17.96929931640625,51948.40576,81412,20354,Diabetes130US,emb_euclidean,32,1,euclidean,embedding,euclidean,embedding,1.8036413192749023,0.010861635208129883,6.8744056224823
0.5849955782647146,0.8924644526012865,9.373457670211792,13.120004653930664,22.493462324142456,51948.40576,81412,20354,Diabetes130US,emb_euclidean,64,1,euclidean,embedding,euclidean,embedding,1.8042914867401123,0.010562419891357422,11.154772520065308
0.5949690478530019,0.874320566795157,9.340247631072998,23.630008935928345,32.97025656700134,67762.075136,81412,20354,Diabetes130US,emb_euclidean,128,1,euclidean,embedding,euclidean,embedding,1.8034043312072754,0.010670185089111328,21.66578722000122
